QID,Quadrant,Question,Score 1,Score 2,Score 3,Score 4,Score 5,User score
S1,Strengths,What specific skills or capabilities does your finance team do best?,1,2,3,4,5,
S2,Strengths,How well do our current finance systems and software support productivity and accuracy?,1,2,3,4,5,
S3,Strengths,How often does the team deliver accurate and timely financial information that stakeholders can rely on?,1,2,3,4,5,
S4,Strengths,How effectively does the team identify and act on financial risks?,1,2,3,4,5,
W1,Weaknesses,To what extent would additional training improve your or the team's performance?,1,2,3,4,5,
W2,Weaknesses,How would you rate communication within the finance team and with other departments?,1,2,3,4,5,
W3,Weaknesses,How efficient and well-documented are our core finance processes?,1,2,3,4,5,
W4,Weaknesses,Are any critical functions overly dependent on one or two people (key-person risk)?,1,2,3,4,5,
O1,Opportunities,Which professional development or leadership capabilities would most improve team performance?,1,2,3,4,5,
O2,Opportunities,"How valuable would adopting new technologies (automation, analytics, cloud tools) be for operations?",1,2,3,4,5,
O3,Opportunities,"In day-to-day work, how many process improvements exist that could deliver measurable efficiency gains?",1,2,3,4,5,
O4,Opportunities,How well does the finance team collaborate with other departments and where could collaboration be strengthened?,1,2,3,4,5,
T1,Threats,How prepared is the team for upcoming regulatory or industry changes?,1,2,3,4,5,
T2,Threats,"How capable is the team of managing financial volatility (for example cashflow shocks, rising FX, bad debts)?",1,2,3,4,5,
T3,Threats,How well-prepared is the team to manage staffing risks such as turnover or skill shortages?,1,2,3,4,5,
T4,Threats,How confident are you that our current cybersecurity measures adequately protect financial data?,1,2,3,4,5,
