,Section Weights by Goal,,,,,
← Back to contents,,,,,,
,Section,Grow,Improve Profitability,Exit / Transition,All / Undecided,Plain-English rationale
,Financial Performance,18%,32%,26%,24%,"Highest for profitability and exit because margin quality, recurring revenue and clean financials most directly affect earnings quality and valuation."
,Strategic Direction & Growth,28%,12%,16%,18%,"Highest for growth because strategy, validated opportunities and innovation determine future expansion capacity."
,Customer & Market Position,24%,16%,14%,18%,"Elevated for growth because customer quality, concentration and differentiation drive sustainable expansion."
,Operations & Scalability,16%,20%,13%,16%,Elevated for profitability because process efficiency and technology maturity drive margin improvement.
,People & Leadership,8%,10%,20%,14%,Highest for exit because owner dependency and management depth directly determine transferability.
,Legal & Risk Management,6%,10%,11%,10%,"Highest for exit because contract transferability, disputes and legal hygiene are common due diligence friction points."
,Total,100%,100%,100%,100%,All columns must sum to 100%
